name,url,monitoring_interval,enable_crawl,enable_visual,enable_blur_detection,enable_performance,max_depth,description
treeofknowledgechristianschool.org,https://treeofknowledgechristianschool.org,1440,true,true,true,true,2,
digitalclicsva.com,https://digitalclicsva.com,1440,true,true,true,true,2,
studio7event.com,https://studio7event.com,1440,true,true,true,true,2,
highlightbodyandpaint.com,https://highlightbodyandpaint.com,1440,true,true,true,true,2,
ipwash.com,https://ipwash.com,1440,true,true,true,true,2,
theautotechs.net,https://theautotechs.net,1440,true,true,true,true,2,
marysolflowerdesigns.com,https://marysolflowerdesigns.com,1440,true,true,true,true,2,
digitalclicsai.com,https://digitalclicsai.com,1440,true,true,true,true,2,
hawaiicellphonerepair.com,https://hawaiicellphonerepair.com,1440,true,true,true,true,2,
ferozylaw.com,https://ferozylaw.com,1440,true,true,true,true,2,
ventcleaningarizona.com,https://ventcleaningarizona.com,1440,true,true,true,true,2,
introtouch.com,https://introtouch.com,1440,true,true,true,true,2,
fencecoroofing.com,https://fencecoroofing.com,1440,true,true,true,true,2,
advcompp.com,https://advcompp.com,1440,true,true,true,true,2,
zakitrafficschool.com,https://zakitrafficschool.com,1440,true,true,true,true,2,
guaranteeddrivingschool.com,https://guaranteeddrivingschool.com,1440,true,true,true,true,2,
eastwayinsurance.com,https://eastwayinsurance.com,1440,true,true,true,true,2,
superiorpatios.com,https://superiorpatios.com,1440,true,true,true,true,2,
jessicahairmakeup.com,https://jessicahairmakeup.com,1440,true,true,true,true,2,
pacificcoastgeneration.com,https://pacificcoastgeneration.com,1440,true,true,true,true,2,
hodlem.io,https://hodlem.io,1440,true,true,true,true,2,
digitalclics.com,https://digitalclics.com,1440,true,true,true,true,2,
911gadgets.com,https://911gadgets.com,1440,true,true,true,true,2,
bandalaelectrizante.com,https://bandalaelectrizante.com,1440,true,true,true,true,2,
goldenfixappliance.com,https://goldenfixappliance.com,1440,true,true,true,true,2,
venflorhousecleaner.com,https://venflorhousecleaner.com,1440,true,true,true,true,2,
gvhardscapes.com,https://gvhardscapes.com,1440,true,true,true,true,2,
snapchargers.com,https://snapchargers.com,1440,true,true,true,true,2,
lolascreationsaz.com,https://lolascreationsaz.com,1440,true,true,true,true,2,
toprankplumbers.com,https://toprankplumbers.com,1440,true,true,true,true,2,
elmersrentals.com,https://elmersrentals.com,1440,true,true,true,true,2,
glamsential.com,https://glamsential.com,1440,true,true,true,true,2,
housedelashes.com,https://housedelashes.com,1440,true,true,true,true,2,
alexanderlawnllc.com,https://alexanderlawnllc.com,1440,true,true,true,true,2,
floors1st.com,https://floors1st.com,1440,true,true,true,true,2,
brightklean.com,https://brightklean.com,1440,true,true,true,true,2,
charmflowers.shop,https://charmflowers.shop,1440,true,true,true,true,2,
sctreeservices.com,https://sctreeservices.com,1440,true,true,true,true,2,
juliosprojectsllc.com,https://juliosprojectsllc.com,1440,true,true,true,true,2,
tpcbuild.com,https://tpcbuild.com,1440,true,true,true,true,2,
jeconveyors.com,https://jeconveyors.com,1440,true,true,true,true,2,
omroofingandconstruction.com,https://omroofingandconstruction.com,1440,true,true,true,true,2,
kobaconstructionllc.com,https://kobaconstructionllc.com,1440,true,true,true,true,2,
dcmarketing.ai,https://dcmarketing.ai,1440,true,true,true,true,2,
cafemilanolajolla.com,https://cafemilanolajolla.com,1440,true,true,true,true,2,
northbroadwaybaptist.com,https://northbroadwaybaptist.com,1440,true,true,true,true,2,
kobaenergy.com,https://kobaenergy.com,1440,true,true,true,true,2,
riskingace.com,https://riskingace.com,1440,true,true,true,true,2,
otrapizzeriaphx.com,https://otrapizzeriaphx.com,1440,true,true,true,true,2,
divvytap.com,https://divvytap.com,1440,true,true,true,true,2,
suerteboutique.com,https://suerteboutique.com,1440,true,true,true,true,2,
gsi-solar.com,https://gsi-solar.com,1440,true,true,true,true,2,
guadalajaralakeelsinore.com,https://guadalajaralakeelsinore.com,1440,true,true,true,true,2,
cvfloors.net,https://cvfloors.net,1440,true,true,true,true,2,
retailradioonline.com,https://retailradioonline.com,1440,true,true,true,true,2,
southbayautocollision.com,https://southbayautocollision.com,1440,true,true,true,true,2,
ironhitchco.com,https://ironhitchco.com,1440,true,true,true,true,2,
johnsyardcleanupservice.com,https://johnsyardcleanupservice.com,1440,true,true,true,true,2,
holyspiritim.com,https://holyspiritim.com,1440,true,true,true,true,2,
geartowing.com,https://geartowing.com,1440,true,true,true,true,2,
playadelacruz.com,https://playadelacruz.com,1440,true,true,true,true,2,
cmgeneralcontractingllc.com,https://cmgeneralcontractingllc.com,1440,true,true,true,true,2,
quikslips.com,https://quikslips.com,1440,true,true,true,true,2,
